"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[日次合計行]","","","","","","","","","","","","","",208450,0,"","","","","",208450,0,"","","","","","","",""
"[明細行]","2025/09/09",,"","NO","","","","","売掛金","㈱富士美化成","","対象外","",145200,,"売上高（1種）","","","簡売一10%","",145200,,"㈱富士美化成　ノートPC販売","","","",,"","2026/08/20",27596
"[日次合計行]","","","","","","","","","","","","","",145200,0,"","","","","",145200,0,"","","","","","","",""
"[明細行]","2025/09/10",,"","NO","","","","[CSV]","ニコスカード","","","対象外","",35763,,"普通　三菱UFJ銀行","","","対象外","",35763,,"ＤＣ","","","",,"","2026/01/28",24821
"[明細行]","2025/09/10",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",4447,,"ニコスカード","","","対象外","",4447,,"ソフトバンクＭ（０６月分）","","","",,"","2026/08/12",25849
"[明細行]","2025/09/10",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",1980,,"ニコスカード","","","対象外","",1980,,"ADOBE SYSTEMS SOFTWA / ADOBE.LY/JPJP","","","",,"","2026/08/12",25850
"[明細行]","2025/09/10",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",980,,"ニコスカード","","","対象外","",980,,"SPOTIFY P393DFA10D / STOCKHOLM","","","",,"","2026/08/12",25851
"[明細行]","2025/09/10",,"","NO","","","","[CSV]","水道光熱費","","","課対仕入10%","",28356,,"ニコスカード","","","対象外","",28356,,"中部電力　２５／０８利用分","","","",,"","2026/08/12",25852
"[明細行]","2025/09/10",,"","NO","","","","","売掛金","㈱浜島書店","","対象外","",127380,,"売上高（1種）","㈱浜島書店","","簡売一10%","",127380,,"㈱浜島書店　OKIプリンター販売","","","",,"","2026/08/20",27598
"[明細行]","2025/09/10",,"","NO","","","","","小口現金","","","対象外","",100000,,"貸付金","","","対象外","",100000,,"長尾友春氏より　","","","",,"","2026/08/21",27993
"[明細行]","2025/09/10",,"","NO","","","","","保険料","","","対象外","",63450,,"小口現金","","","対象外","",63450,,"車両保険代","","","",,"","2026/08/21",27912
"[日次合計行]","","","","","","","","","","","","","",362356,0,"","","","","",362356,0,"","","","","","","",""
"[明細行]","2025/09/11",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",145200,,"売掛金","㈱富士美化成","","対象外","",145200,,"カ）フジミカセイ","","","",,"","2026/08/14",26941
"[明細行]","2025/09/11",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4680,,"現金","","","対象外","",4680,,"交通費（8月JCC）　浅田","","","",,"","2026/08/17",27558
"[日次合計行]","","","","","","","","","","","","","",149880,0,"","","","","",149880,0,"","","","","","","",""
"[明細行]","2025/09/12",,"","NO","","","","[CSV]","仕入高　1","","","課対仕入10%","",123464,,"普通　三菱UFJ銀行","","","対象外","",123464,,"ソウゴウフリコミ　　　ＢＩＺ　SB富士見PC仕入　富士美化成用1台","","","",,"","2026/08/20",27605
"[日次合計行]","","","","","","","","","","","","","",123464,0,"","","","","",123464,0,"","","","","","","",""
"[明細行]","2025/09/16",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",127380,,"売掛金","㈱浜島書店","","対象外","",127380,,"カ．ハマジマシヨテン","","","",,"","2026/01/28",24824
"[日次合計行]","","","","","","","","","","","","","",127380,0,"","","","","",127380,0,"","","","","","","",""
"[明細行]","2025/09/18",,"","NO","","","","[CSV]","支払手数料","","","課対仕入10%","",5060,,"普通　三菱UFJ銀行","","","対象外","",5060,,"BZ手数料　月分","","","",,"","2026/01/28",24825
"[明細行]","2025/09/18",,"","NO","","","","[CSV]","支払手数料","","","課対仕入10%","",3454,,"普通　三菱UFJ銀行","","","対象外","",3454,,"振込手数料　月分","","","",,"","2026/01/28",24826
"[明細行]","2025/09/18",,"","NO","","","","","旅費交通費","","","課対仕入10%","",23360,,"小口現金","","","対象外","",23360,,"JR東海代　新幹線","","","",,"","2026/08/21",27913
"[日次合計行]","","","","","","","","","","","","","",31874,0,"","","","","",31874,0,"","","","","","","",""
"[明細行]","2025/09/22",,"","NO","","","","[CSV]","保険料","","","対象外","",15000,,"普通　三菱UFJ銀行","","","対象外","",15000,,"ナゴヤカイギシヨ　キ","","","",,"","2026/01/28",24827
"[日次合計行]","","","","","","","","","","","","","",15000,0,"","","","","",15000,0,"","","","","","","",""
"[明細行]","2025/09/24",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",1971,,"普通　三菱UFJ銀行","","","対象外","",1971,,"ＳＭＢＣ（コニカミノルタ　8月分","","","",,"","2026/08/15",27155
"[明細行]","2025/09/24",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",700000,,"貸付金","","","対象外","",700000,,"ナガオ　トモハル","","","",,"","2026/01/28",25224
"[日次合計行]","","","","","","","","","","","","","",701971,0,"","","","","",701971,0,"","","","","","","",""
"[明細行]","2025/09/25",,"","NO","","","","[CSV]","複合","","","対象外","",372049,,"普通　三菱UFJ銀行","","","対象外","",372049,,"ナガオ　トモハル","","","",,"","2026/01/28",24830
"[明細行]","2025/09/25",,"","NO","","","","[CSV]","複合","","","対象外","",281991,,"普通　三菱UFJ銀行","","","対象外","",281991,,"フジイ　ヒロフミ","","","",,"","2026/01/28",24831
"[明細行]","2025/09/25",,"","NO","","","","[CSV]","複合","","","対象外","",302311,,"普通　三菱UFJ銀行","","","対象外","",302311,,"ヨコヤマ　タイスケ","","","",,"","2026/01/28",24832
"[明細行]","2025/09/25",,"","NO","","","","[CSV]","複合","","","対象外","",239405,,"普通　三菱UFJ銀行","","","対象外","",239405,,"アサダタツキ","","","",,"","2026/01/28",24833
"[明細行]","2025/09/25",,"","NO","","","","","役員報酬","","","対象外","",400000,,"複合","","","対象外","",400000,,"給与　9月分","","","",,"","2026/01/28",25087
"[明細行]","2025/09/25",,"","NO","","","","","[製]給料手当","","","対象外","",1000000,,"複合","","","対象外","",1000000,,"給与　9月分","","","",,"","2026/01/28",25088
"[明細行]","2025/09/25",,"","NO","","","","","旅費交通費","","","課対仕入10%","",37000,,"複合","","","対象外","",37000,,"交通費","","","",,"","2026/01/28",25028
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",61408,,"法定福利費","","","対象外","",61408,,"健康保険","","","",,"","2026/01/28",25029
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",103212,,"法定福利費","","","対象外","",103212,,"厚生年金","","","",,"","2026/01/28",25030
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",5704,,"[製]法定福利費","","","対象外","",5704,,"雇用保険料","","","",,"","2026/01/28",25031
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",35220,,"預り金","源泉所得税","","対象外","",35220,,"給与　9月分　源泉税","","","",,"","2026/01/28",25201
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",15500,,"預り金②","名古屋市","","対象外","",15500,,"給与　9月分　住民税　名古屋市","","","",,"","2026/01/28",25090
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",10500,,"預り金②","一宮市","","対象外","",10500,,"給与　9月分　住民税　一宮市","","","",,"","2026/01/28",25091
"[明細行]","2025/09/25",,"","NO","","","","","複合","","","対象外","",9700,,"預り金②","刈谷市","","対象外","",9700,,"給与　9月分　住民税　刈谷氏","","","",,"","2026/01/28",25092
"[明細行]","2025/09/25",,"","NO","","","","","旅費交通費","","","課対仕入10%","",23360,,"小口現金","","","対象外","",23360,,"JR東海代　新幹線","","","",,"","2026/08/21",27914
"[日次合計行]","","","","","","","","","","","","","",2897360,0,"","","","","",2897360,0,"","","","","","","",""
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","保険料","","","対象外","",4025,,"普通　三菱UFJ銀行","","","対象外","",4025,,"アフラツクＡＰＳ","","","",,"","2026/01/28",24834
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","保険料","","","対象外","",9170,,"普通　三菱UFJ銀行","","","対象外","",9170,,"ＤＦ．オリツクスセイメイ","","","",,"","2026/01/28",24835
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","楽天カード","","","対象外","",183782,,"普通　三菱UFJ銀行","","","対象外","",183782,,"ラクテンカ－ドサ－ビ","","","",,"","2026/01/28",24836
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2970,,"楽天カード","","","対象外","",2970,,"さくらインターネット","","","",,"","2026/08/12",25410
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",25411
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",3803,,"楽天カード","","","対象外","",3803,,"ワークマン","","","",,"","2026/08/12",25412
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2860,,"楽天カード","","","対象外","",2860,,"ﾌｲﾂｼﾝｸﾞﾕｳ ﾅｶﾑﾗｺｶﾞ","","","",,"","2026/08/12",25413
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",10134,,"楽天カード","","","対象外","",10134,,"ﾊﾞﾛ-(ｽ-ﾊﾟ-)","","","",,"","2026/08/12",25414
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1600,,"楽天カード","","","対象外","",1600,,"ﾒｲﾃﾂｷﾖｳｼﾖｳﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/08/12",25415
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",399,,"楽天カード","","","対象外","",399,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25416
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",127,,"楽天カード","","","対象外","",127,,"楽天ＳＰ  楽天ペイ・ウエルシアグループ","","","",,"","2026/08/12",25417
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2260,,"楽天カード","","","対象外","",2260,,"AMAZON.CO.JP","","","",,"","2026/08/12",25418
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",3997,,"楽天カード","","","対象外","",3997,,"AMAZON.CO.JP","","","",,"","2026/08/12",25419
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",2368,,"楽天カード","","","対象外","",2368,,"ｱｽｸﾙ","","","",,"","2026/08/12",25420
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25421
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25422
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/08/12",25423
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",127,,"楽天カード","","","対象外","",127,,"楽天ＳＰ  楽天ペイ・ウエルシアグループ","","","",,"","2026/08/12",25424
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",25425
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",10000,,"楽天カード","","","対象外","",10000,,"Ｓｕｉｃａ（携帯決済）","","","",,"","2026/08/12",25426
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",132,,"楽天カード","","","対象外","",132,,"楽天ＳＰ  ローソンアプリ","","","",,"","2026/08/12",25427
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",905,,"楽天カード","","","対象外","",905,,"楽天ＳＰ  ローソンアプリ","","","",,"","2026/08/12",25428
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",429,,"楽天カード","","","対象外","",429,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25429
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",425,,"楽天カード","","","対象外","",425,,"楽天ＳＰ  楽天ペイアプリセブン－イレブン","","","",,"","2026/08/12",25430
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",690,,"楽天カード","","","対象外","",690,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25431
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",86,,"楽天カード","","","対象外","",86,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25432
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25433
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",260,,"楽天カード","","","対象外","",260,,"楽天ＳＰ  スガキコシステムズアプリ","","","",,"","2026/08/12",25434
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",12200,,"楽天カード","","","対象外","",12200,,"ｿﾌﾄﾊﾞﾝｸM(07ｶﾞﾂ)","","","",,"","2026/08/12",25435
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",429,,"楽天カード","","","対象外","",429,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25436
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",890,,"楽天カード","","","対象外","",890,,"ﾈｯﾄﾌﾘｯｸｽ","","","",,"","2026/08/12",25437
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",25438
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","交際費","","","課対仕入10%","",4670,,"楽天カード","","","対象外","",4670,,"ｺ-ﾋ-ｶﾞﾝﾈﾝ ﾅｶｶﾞﾜﾎﾝ","","","",,"","2026/08/23",28098
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",131,,"楽天カード","","","対象外","",131,,"楽天ＳＰ  ローソンアプリ","","","",,"","2026/08/12",25440
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",489,,"楽天カード","","","対象外","",489,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25441
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25442
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",693,,"楽天カード","","","対象外","",693,,"ｷﾞﾖｳｻﾞﾉｵｳｼﾖｳ ｲｵﾝﾀ","","","",,"","2026/08/12",25443
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25444
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"GOOGLE GOOGLE ONE","","","",,"","2026/08/12",25445
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","交際費","","","課対仕入10%","",3330,,"楽天カード","","","対象外","",3330,,"楽天ＳＰ  ケンタッキーアプリ","","","",,"","2026/08/23",28099
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",290,,"楽天カード","","","対象外","",290,,"GOOGLE GOOGLE ONE","","","",,"","2026/08/12",25447
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",429,,"楽天カード","","","対象外","",429,,"楽天ＳＰ  ローソンアプリ","","","",,"","2026/08/12",25448
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","交際費","","","課対仕入10%","",2170,,"楽天カード","","","対象外","",2170,,"マクドナルド  モバイルオーダー","","","",,"","2026/08/23",28100
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/08/12",25450
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",2500,,"楽天カード","","","対象外","",2500,,"ﾒｲﾃﾂｷﾖｳｼﾖｳﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/08/12",25451
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25452
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",333,,"楽天カード","","","対象外","",333,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25453
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",56046,,"楽天カード","","","対象外","",56046,,"ｸﾗｽﾒｿﾂﾄﾞ(ｶ","","","",,"","2026/08/12",25454
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",638,,"楽天カード","","","対象外","",638,,"ｷﾞﾖｳｻﾞﾉｵｳｼﾖｳ ｲｵﾝﾀ","","","",,"","2026/08/12",25455
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25456
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",560,,"楽天カード","","","対象外","",560,,"ＥＴＣカード売上","","","",,"","2026/08/12",25457
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",530,,"楽天カード","","","対象外","",530,,"ＥＴＣカード売上","","","",,"","2026/08/12",25458
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",680,,"楽天カード","","","対象外","",680,,"ＥＴＣカード売上","","","",,"","2026/08/12",25459
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",390,,"楽天カード","","","対象外","",390,,"ＥＴＣカード売上","","","",,"","2026/08/12",25460
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",400,,"楽天カード","","","対象外","",400,,"ＥＴＣカード売上","","","",,"","2026/08/12",25461
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",500,,"楽天カード","","","対象外","",500,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25462
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",7010,,"楽天カード","","","対象外","",7010,,"ＥＮＥＯＳ－ＳＳ","","","",,"","2026/08/12",25463
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2728,,"楽天カード","","","対象外","",2728,,"ｽｲﾂﾁｻｲｴﾝｽ","","","",,"","2026/08/12",25464
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1355,,"楽天カード","","","対象外","",1355,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25465
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2090,,"楽天カード","","","対象外","",2090,,"GOOGLE*GSUITE MOJ","","","",,"","2026/08/23",28101
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25467
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2189,,"楽天カード","","","対象外","",2189,,"ユーネクストサービス利用料","","","",,"","2026/08/12",25468
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25469
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2605,,"楽天カード","","","対象外","",2605,,"ａｕ  ご利用代金  ７月ご利用分","","","",,"","2026/08/12",25470
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",8780,,"楽天カード","","","対象外","",8780,,"ＵＱ  ｍｏｂｉｌｅご利用料金","","","",,"","2026/08/12",25471
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",690,,"楽天カード","","","対象外","",690,,"ＥＴＣカード売上","","","",,"","2026/08/12",25472
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",690,,"楽天カード","","","対象外","",690,,"ＥＴＣカード売上","","","",,"","2026/08/12",25473
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1010,,"楽天カード","","","対象外","",1010,,"楽天ＳＰ  ガストアプリ","","","",,"","2026/08/12",25474
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",580,,"楽天カード","","","対象外","",580,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/23",28107
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","交際費","","","課対仕入10%","",1300,,"楽天カード","","","対象外","",1300,,"楽天ＳＰ  コメダ珈琲グループ","","","",,"","2026/08/23",28103
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25477
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",630,,"楽天カード","","","対象外","",630,,"ＥＴＣカード売上","","","",,"","2026/08/12",25478
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",690,,"楽天カード","","","対象外","",690,,"ＥＴＣカード売上","","","",,"","2026/08/12",25479
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ  ファミリーマートアプリ","","","",,"","2026/08/12",25480
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2592,,"楽天カード","","","対象外","",2592,,"ﾀﾞｲｵ-ｽﾞｼﾞﾔﾊﾟﾝ","","","",,"","2026/08/12",25481
"[明細行]","2025/09/29",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2189,,"楽天カード","","","対象外","",2189,,"ユーネクストサービス利用料","","","",,"","2026/08/12",25482
"[日次合計行]","","","","","","","","","","","","","",380759,0,"","","","","",380759,0,"","","","","","","",""
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",65615,,"売掛金","東海オートメーション㈱","","対象外","",65615,,"トウカイオ－トメ－シヨン（カ","","","",,"","2026/01/28",24837
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","支払利息","三菱/83,000/1000万","","対象外","",6524,,"普通　三菱UFJ銀行","","","対象外","",6524,,"ご融資利息","","","",,"","2026/08/14",27019
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","支払利息","三菱/119,000/1000万新","","対象外","",8217,,"普通　三菱UFJ銀行","","","対象外","",8217,,"ご融資利息","","","",,"","2026/08/14",27020
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","支払利息","三菱/178,000/1500万","","対象外","",12330,,"普通　三菱UFJ銀行","","","対象外","",12330,,"ご融資利息","","","",,"","2026/01/28",24840
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","支払利息","三菱/125,000/1500万","","対象外","",15448,,"普通　三菱UFJ銀行","","","対象外","",15448,,"ご融資利息","","","",,"","2026/08/14",27021
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","普通　三菱UFJ銀行","","","対象外","",3417661,,"売掛金","日本カラリング㈱","","対象外","",3417661,,"ニホンカラリング（カ","","","",,"","2026/01/28",24842
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","複合","","","対象外","",169884,,"普通　三菱UFJ銀行","","","対象外","",169884,,"ソウゴウフリコミ　　　ＢＩＺ","","","",,"","2026/01/28",24843
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",17983,,"普通　三菱UFJ銀行","","","対象外","",17983,,"電話","","","",,"","2026/01/28",24844
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","支払利息","日本/93,000/1000万","","対象外","",9438,,"普通　三菱UFJ銀行","","","対象外","",9438,,"金融公庫","","","",,"","2026/01/28",24845
"[明細行]","2025/09/30",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",10780,,"普通　三菱UFJ銀行","","","対象外","",10780,,"ドコモビジネス","","","",,"","2026/01/28",24846
"[明細行]","2025/09/30",,"","NO","","","","","賃借料","後藤","","課対仕入10%","",127600,,"複合","","","対象外","",127600,,"家賃　林ビル　後藤三枝子　10月分","","","",,"","2026/08/21",28014
"[明細行]","2025/09/30",,"","NO","","","","","水道光熱費","水道代","","課対仕入10%","",4353,,"複合","","","対象外","",4353,,"水道代　林ビル　後藤三枝子　8・9月分","","","",,"","2026/08/21",28053
"[明細行]","2025/09/30",,"","NO","","","","","雑費","千葉","","課対仕入10%","",32931,,"複合","","","対象外","",32931,,"千葉会計　顧問料　","","","",,"","2026/01/28",24995
"[明細行]","2025/09/30",,"","NO","","","","","賃借料","兵頭","","課対仕入10%","",5000,,"複合","","","対象外","",5000,,"駐車料　兵頭","","","",,"","2026/01/28",24996
"[明細行]","2025/09/30",,"","NO","","","","","雑費","千葉","","課対仕入10%","",3369,,"預り金","源泉所得税","","対象外","",3369,,"千葉会計　源泉所得税　","","","",,"","2026/08/12",26852
"[明細行]","2025/09/30",,"","NO","","","","","支払利息","三井/42,000/500万","","対象外","",3748,,"普通　三井住友銀行","","","対象外","",3748,,"融資利息","","","",,"","2026/08/13",26869
"[明細行]","2025/09/30",,"","NO","","","","","支払利息","三井/42,000/500万","","対象外","",4007,,"普通　三井住友銀行","","","対象外","",4007,,"融資利息","","","",,"","2026/08/13",26870
