"帳票名","仕訳日記帳"
"書式名","汎用形式"
"事業所名","㈱コムテックエンタープライズ"
"処理日時","2026/09/09","14:05:26"
"検索条件",""
"集計期間","2025/07/01","2026/06/30","決算仕訳を含む"
"当日仕訳","NO"
"[表題行]","日付","伝票No.","決算","調整","付箋1","付箋2","タイプ","生成元","借方勘定科目","借方補助科目","借方部門","借方税区分","借方税計算区分","借方金額","借方税額","貸方勘定科目","貸方補助科目","貸方部門","貸方税区分","貸方税計算区分","貸方金額","貸方税額","摘要","請求書区分","仕入税額控除","期日","番号","仕訳メモ","作業日付","仕訳番号"
"[日次合計行]","","","","","","","","","","","","","",1000,0,"","","","","",1000,0,"","","","","","","",""
"[明細行]","2025/07/22",,"","NO","","","","[CSV]","保険料","","","対象外","",15000,,"普通　三菱UFJ銀行","","","対象外","",15000,,"ナゴヤカイギシヨ　キ","","","",,"","2026/01/28",24765
"[明細行]","2025/07/22",,"","NO","","","","","旅費交通費","","","課対仕入10%","",4940,,"小口現金","","","対象外","",4940,,"中部テラオカ津営業所　往復","","","",,"","2026/08/21",27881
"[日次合計行]","","","","","","","","","","","","","",19940,0,"","","","","",19940,0,"","","","","","","",""
"[明細行]","2025/07/23",,"","NO","","","","[CSV]","事務用品費","","","課対仕入10%","",1100,,"普通　三菱UFJ銀行","","","対象外","",1100,,"ＳＭＢＣ（コニカミノルタ","","","",,"","2026/01/28",24766
"[明細行]","2025/07/23",,"","NO","","","","","交際費","","","課対仕入10%","",11800,,"小口現金","","","対象外","",11800,,"交際費","","","",,"","2026/08/21",27888
"[日次合計行]","","","","","","","","","","","","","",12900,0,"","","","","",12900,0,"","","","","","","",""
"[明細行]","2025/07/25",,"","NO","","","","[CSV]","複合","","","対象外","",239405,,"普通　三菱UFJ銀行","","","対象外","",239405,,"アサダタツキ","","","",,"","2026/01/28",24767
"[明細行]","2025/07/25",,"","NO","","","","[CSV]","複合","","","対象外","",281991,,"普通　三菱UFJ銀行","","","対象外","",281991,,"フジイ　ヒロフミ","","","",,"","2026/01/28",24768
"[明細行]","2025/07/25",,"","NO","","","","[CSV]","複合","","","対象外","",302311,,"普通　三菱UFJ銀行","","","対象外","",302311,,"ヨコヤマ　タイスケ","","","",,"","2026/01/28",24769
"[明細行]","2025/07/25",,"","NO","","","","[CSV]","複合","","","対象外","",337317,,"普通　三菱UFJ銀行","","","対象外","",337317,,"ナガオ　トモハル","","","",,"","2026/01/28",24870
"[明細行]","2025/07/25",,"","NO","","","","","役員報酬","","","対象外","",400000,,"複合","","","対象外","",400000,,"給与　7月分","","","",,"","2026/01/28",24985
"[明細行]","2025/07/25",,"","NO","","","","","[製]給料手当","","","対象外","",1000000,,"複合","","","対象外","",1000000,,"給与　7月分","","","",,"","2026/01/28",24986
"[明細行]","2025/07/25",,"","NO","","","","","旅費交通費","","","課対仕入10%","",37000,,"複合","","","対象外","",37000,,"交通費","","","",,"","2026/01/28",24971
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",61408,,"法定福利費","","","対象外","",61408,,"健康保険","","","",,"","2026/03/19",25338
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",103212,,"法定福利費","","","対象外","",103212,,"厚生年金","","","",,"","2026/01/28",24973
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",5704,,"[製]法定福利費","","","対象外","",5704,,"雇用保険料","","","",,"","2026/01/28",24974
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",35220,,"預り金","源泉所得税","","対象外","",35220,,"給与　7月分　源泉税","","","",,"","2026/01/28",25199
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",15500,,"預り金②","名古屋市","","対象外","",15500,,"給与　7月分　住民税　名古屋市","","","",,"","2026/01/28",24988
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",10500,,"預り金②","一宮市","","対象外","",10500,,"給与　7月分　住民税　一宮市","","","",,"","2026/01/28",24989
"[明細行]","2025/07/25",,"","NO","","","","","複合","","","対象外","",9700,,"預り金②","刈谷市","","対象外","",9700,,"給与　7月分　住民税　刈谷氏","","","",,"","2026/01/28",24990
"[日次合計行]","","","","","","","","","","","","","",2839268,0,"","","","","",2839268,0,"","","","","","","",""
"[明細行]","2025/07/26",,"","NO","","","","","旅費交通費","","","課対仕入10%","",1100,,"小口現金","","","対象外","",1100,,"駐車料　","","","",,"","2026/08/21",27885
"[日次合計行]","","","","","","","","","","","","","",1100,0,"","","","","",1100,0,"","","","","","","",""
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25252
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",5374,,"楽天カード","","","対象外","",5374,,"AMAZON.CO.JP","","","",,"","2026/03/19",25253
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",2117,,"楽天カード","","","対象外","",2117,,"AMAZON.CO.JP","","","",,"","2026/03/19",25254
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",7775,,"楽天カード","","","対象外","",7775,,"COGNITION LABS (DEVI利用国US　","","","",,"","2026/08/15",27266
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","通信費","","","課対仕入10%","",2970,,"楽天カード","","","対象外","",2970,,"さくらインターネット","","","",,"","2026/03/19",25256
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",1966,,"楽天カード","","","対象外","",1966,,"ヤクルト届けてネット（名古屋）","","","",,"","2026/03/19",25257
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25258
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",1900,,"楽天カード","","","対象外","",1900,,"ｱｲﾎﾟｽﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/03/19",25259
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ローソンアプリ","","","",,"","2026/03/19",25260
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",300,,"楽天カード","","","対象外","",300,,"楽天ＳＰ　名古屋市役所財政局アプリ","","","",,"","2026/08/23",28088
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","旅費交通費","","","課対仕入10%","",2500,,"楽天カード","","","対象外","",2500,,"ﾒｲﾃﾂｷﾖｳｼﾖｳﾊﾟ-ｷﾝｸﾞ","","","",,"","2026/08/23",28087
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","消耗品費","","","課対仕入10%","",890,,"楽天カード","","","対象外","",890,,"楽天ＳＰ　楽天ペイ加盟店","","","",,"","2026/08/23",28091
"[明細行]","2025/07/27",,"","NO","","","","[CSV]","福利厚生費","","","課対仕入10%","",430,,"楽天カード","","","対象外","",430,,"楽天ＳＰ　ファミリーマートアプリ","","","",,"","2026/03/19",25264
